,Unnamed: 0,Gender,Attendance (%),Midterm_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,Study_Hours_per_Week,Extracurricular_Activities,Stress_Level (1-10),Sleep_Hours_per_Night,Grade
0,0,Female,97.36,40.61,73.69,53.17,73.4,62.84,10.3,Yes,1,5.9,F
1,1,Male,97.71,57.27,74.23,98.23,88,98.23,27.1,No,4,4.3,B
2,2,Male,99.52,41.84,85.85,50,4.7,91.22,12.4,Yes,9,6.1,D
3,3,Female,90.38,45.65,68.1,66.27,4.2,55.48,25.5,No,8,4.9,F
4,4,Female,59.41,53.13,67.66,83.98,64.3,87.43,13.3,Yes,6,4.5,C
5,5,Male,60.6,70.21,87.85,52.26,54.8,67.65,25.3,Yes,6,5.6,D
6,6,Male,67.01,90.85,89,54.17,15.5,87.51,22.1,Yes,2,4,B
7,7,Male,65.91,91.72,50.72,53.83,54.8,90.04,16.7,Yes,5,7.8,C
8,8,Female,97.83,76.97,57.19,79.08,97.4,57.57,18.1,No,9,4.8,D
9,9,Female,89.45,95.69,60.65,94.8,63.1,83.09,9.4,Yes,8,7.1,B
10,10,Female,86.2,70,67.58,77.77,44.9,93.14,7.9,Yes,4,8.2,C
11,11,Female,59.3,93.34,64.57,80.18,82.8,66.17,22.9,Yes,7,8.6,C
12,12,Male,95.48,67.24,83.43,67.3,21.3,54.02,26.2,No,9,6.8,C
13,13,Male,91.39,56.63,91.41,50.94,41.4,51.36,23,No,5,7.9,D
14,14,Male,58.18,94.98,59.6,51.08,52.8,55.5,27.8,No,2,6.3,D
15,15,Male,93.56,63.28,78.15,94.42,50.5,50.21,27.3,Yes,2,6.5,C
16,16,Female,63.61,70.2,68.39,55.13,92.1,66.35,24.5,No,8,6.7,D
17,17,Female,54.04,59.73,75.29,99.99,29.3,64.97,27.5,No,8,7.4,D
18,18,Male,82.84,79.77,81.04,58.22,5.7,55.52,9.2,Yes,8,7.3,D
19,19,Male,82.69,99.7,94.68,83.73,91.6,82.56,23.3,No,5,7.9,B
20,20,Male,54.75,41.53,59.61,97.45,21.7,99.6,23.8,No,2,7.1,D
21,21,Male,65.94,93.99,54.35,68.11,37.9,95.05,8.8,No,10,8.4,C
22,22,Male,99.64,40.24,81.36,86.72,53.1,62.64,27.7,No,8,7.5,F
23,23,Female,83.92,61.85,69.71,67.54,97.6,88.5,5.2,Yes,4,8.6,B
24,24,Female,86.5,50.12,58.15,65.25,53.5,96.84,15.9,No,9,7.8,C
25,25,Male,60.65,85.44,55.85,60.09,44.8,95.32,5.5,No,10,7.7,C
26,26,Male,53.94,43.04,77.95,91.05,58.4,94.23,18.1,No,6,8.3,B
27,27,Male,63.85,73.21,65.02,62.87,97.1,89.32,15.3,No,10,7.3,C
28,28,Female,62.44,57.7,99.87,64.16,81.8,64.65,20.6,Yes,7,4.9,C
29,29,Female,61.73,48.02,70.3,99.95,16.9,54.18,24.2,Yes,3,4.4,D
30,30,Female,59.64,86.31,60.61,66.37,80.3,74.39,24.2,Yes,2,5.6,D
31,31,Male,78.74,53.05,81.44,71.14,84.1,52.74,23.1,Yes,2,8.1,F
32,32,Female,66.41,53.42,62.21,99.5,69.1,99.92,7.5,Yes,3,4.1,C
33,33,Male,91.02,56.5,74.7,68.47,65.7,67.92,15.4,No,7,4.8,D
34,34,Female,59.2,75.21,74.13,68.31,44.1,97.92,25.4,No,8,4.5,C
35,35,Female,73.23,79.58,72.68,91.39,64.2,88.66,21.4,No,4,4.2,C
36,36,Female,50.68,41.06,89.8,65.6,73.8,70.56,22,Yes,3,8.1,D
37,37,Male,74.08,54.51,60.83,61.69,12.3,55.92,10.7,Yes,7,5.4,F
38,38,Male,52.79,65.86,95.22,71.16,25.7,61.86,13.1,Yes,3,7.6,C
